['a1', 'a3', 'X', 'B', 'R', 'N']
['a1', 'a3', 'a2', 'B', 'Nex', 'C']
['a1', 'a3', 'a4', 'B', 'Nex', 'C']
['a1', 'a3', 'b1', 'B', 9, 'N']
['a1', 'a3', 'b2', 'B', 7, 'N']
['a1', 'a3', 'b3', 'B', 'Nex', 'C']
['a1', 'a3', 'b4', 'B', 7, 'N']
['a1', 'a3', 'c1', 'B', 7, 'N']
['a1', 'a3', 'c2', 'B', 7, 'N']
['a1', 'a3', 'c3', 'B', 'Nex', 'C']
['a1', 'a3', 'c4', 'B', 7, 'N']
['a1', 'a3', 'd1', 'B', 7, 'N']
['a1', 'a3', 'd2', 'B', 7, 'N']
['a1', 'a3', 'd3', 'B', 'Nex', 'C']
['a1', 'a3', 'd4', 'B', 7, 'N']
['a1', 'a4', 'X', 'B', 'R', 'N']
['a1', 'a4', 'a2', 'B', 'Nex', 'C']
['a1', 'a4', 'a3', 'B', 'Nex', 'C']
['a1', 'a4', 'b1', 'B', 5, 'N']
['a1', 'a4', 'b2', 'B', 9, 'N']
['a1', 'a4', 'b3', 'B', 5, 'N']
['a1', 'a4', 'b4', 'B', 'Nex', 'C']
['a1', 'a4', 'c1', 'B', 5, 'N']
['a1', 'a4', 'c2', 'B', 5, 'N']
['a1', 'a4', 'c3', 'B', 5, 'N']
['a1', 'a4', 'c4', 'B', 'Nex', 'C']
['a1', 'a4', 'd1', 'B', 3, 'N']
['a1', 'a4', 'd2', 'B', 3, 'N']
['a1', 'a4', 'd3', 'B', 3, 'N']
['a1', 'a4', 'd4', 'B', 'Nex', 'C']
['a1', 'b3', 'X', 'B', 'R', 'N']
['a1', 'b3', 'a2', 'B', 11, 'N']
['a1', 'b3', 'a3', 'B', 'Nex', 'C']
['a1', 'b3', 'a4', 'B', 11, 'N']
['a1', 'b3', 'b1', 'B', 'Nex', 'C']
['a1', 'b3', 'b2', 'B', 'Nex', 'C']
['a1', 'b3', 'b4', 'B', 'Nex', 'C']
['a1', 'b3', 'c1', 'B', 7, 'N']
['a1', 'b3', 'c2', 'B', 9, 'N']
['a1', 'b3', 'c3', 'B', 'Nex', 'C']
['a1', 'b3', 'c4', 'B', 9, 'N']
['a1', 'b3', 'd1', 'B', 9, 'N']
['a1', 'b3', 'd2', 'B', 11, 'N']
['a1', 'b3', 'd3', 'B', 'Nex', 'C']
['a1', 'b3', 'd4', 'B', 11, 'N']
['a1', 'b4', 'X', 'B', 'R', 'N']
['a1', 'b4', 'a2', 'B', 7, 'N']
['a1', 'b4', 'a3', 'B', 7, 'N']
['a1', 'b4', 'a4', 'B', 'Nex', 'C']
['a1', 'b4', 'b1', 'B', 'Nex', 'C']
['a1', 'b4', 'b2', 'B', 'Nex', 'C']
['a1', 'b4', 'b3', 'B', 'Nex', 'C']
['a1', 'b4', 'c1', 'B', 3, 'N']
['a1', 'b4', 'c2', 'B', 3, 'N']
['a1', 'b4', 'c3', 'B', 3, 'N']
['a1', 'b4', 'c4', 'B', 'Nex', 'C']
['a1', 'b4', 'd1', 'B', 5, 'N']
['a1', 'b4', 'd2', 'B', 5, 'N']
['a1', 'b4', 'd3', 'B', 5, 'N']
['a1', 'b4', 'd4', 'B', 'Nex', 'C']
['a1', 'c1', 'X', 'B', 'R', 'N']
['a1', 'c1', 'a2', 'B', 9, 'N']
['a1', 'c1', 'a3', 'B', 7, 'N']
['a1', 'c1', 'a4', 'B', 7, 'N']
['a1', 'c1', 'b1', 'B', 'Nex', 'C']
['a1', 'c1', 'b2', 'B', 7, 'N']
['a1', 'c1', 'b3', 'B', 7, 'N']
['a1', 'c1', 'b4', 'B', 7, 'N']
['a1', 'c1', 'c2', 'B', 'Nex', 'C']
['a1', 'c1', 'c3', 'B', 'Nex', 'C']
['a1', 'c1', 'c4', 'B', 'Nex', 'C']
['a1', 'c1', 'd1', 'B', 'Nex', 'C']
['a1', 'c1', 'd2', 'B', 7, 'N']
['a1', 'c1', 'd3', 'B', 7, 'N']
['a1', 'c1', 'd4', 'B', 7, 'N']
['a1', 'c2', 'X', 'B', 'R', 'N']
['a1', 'c2', 'a2', 'B', 'Nex', 'C']
['a1', 'c2', 'a3', 'B', 7, 'N']
['a1', 'c2', 'a4', 'B', 9, 'N']
['a1', 'c2', 'b1', 'B', 11, 'N']
['a1', 'c2', 'b2', 'B', 'Nex', 'C']
['a1', 'c2', 'b3', 'B', 9, 'N']
['a1', 'c2', 'b4', 'B', 11, 'N']
['a1', 'c2', 'c1', 'B', 'Nex', 'C']
['a1', 'c2', 'c3', 'B', 'Nex', 'C']
['a1', 'c2', 'c4', 'B', 'Nex', 'C']
['a1', 'c2', 'd1', 'B', 11, 'N']
['a1', 'c2', 'd2', 'B', 'Nex', 'C']
['a1', 'c2', 'd3', 'B', 9, 'N']
['a1', 'c2', 'd4', 'B', 11, 'N']
['a1', 'c3', 'X', 'B', 'R', 'N']
['a1', 'c3', 'a2', 'B', 9, 'N']
['a1', 'c3', 'a3', 'B', 'Nex', 'C']
['a1', 'c3', 'a4', 'B', 9, 'N']
['a1', 'c3', 'b1', 'B', 9, 'N']
['a1', 'c3', 'b2', 'B', 9, 'N']
['a1', 'c3', 'b3', 'B', 'Nex', 'C']
['a1', 'c3', 'b4', 'B', 13, 'N']
['a1', 'c3', 'c1', 'B', 'Nex', 'C']
['a1', 'c3', 'c2', 'B', 'Nex', 'C']
['a1', 'c3', 'c4', 'B', 'Nex', 'C']
['a1', 'c3', 'd1', 'B', 9, 'N']
['a1', 'c3', 'd2', 'B', 13, 'N']
['a1', 'c3', 'd3', 'B', 'Nex', 'C']
['a1', 'c3', 'd4', 'B', 13, 'N']
['a1', 'c4', 'X', 'B', 'R', 'N']
['a1', 'c4', 'a2', 'B', 5, 'N']
['a1', 'c4', 'a3', 'B', 5, 'N']
['a1', 'c4', 'a4', 'B', 'Nex', 'C']
['a1', 'c4', 'b1', 'B', 7, 'N']
['a1', 'c4', 'b2', 'B', 11, 'N']
['a1', 'c4', 'b3', 'B', 7, 'N']
['a1', 'c4', 'b4', 'B', 'Nex', 'C']
['a1', 'c4', 'c1', 'B', 'Nex', 'C']
['a1', 'c4', 'c2', 'B', 'Nex', 'C']
['a1', 'c4', 'c3', 'B', 'Nex', 'C']
['a1', 'c4', 'd1', 'B', 3, 'N']
['a1', 'c4', 'd2', 'B', 3, 'N']
['a1', 'c4', 'd3', 'B', 9, 'N']
['a1', 'c4', 'd4', 'B', 'Nex', 'C']
['a1', 'd1', 'X', 'B', 'R', 'N']
['a1', 'd1', 'a2', 'B', 5, 'N']
['a1', 'd1', 'a3', 'B', 5, 'N']
['a1', 'd1', 'a4', 'B', 3, 'N']
['a1', 'd1', 'b1', 'B', 'Nex', 'C']
['a1', 'd1', 'b2', 'B', 9, 'N']
['a1', 'd1', 'b3', 'B', 5, 'N']
['a1', 'd1', 'b4', 'B', 3, 'N']
['a1', 'd1', 'c1', 'B', 'Nex', 'C']
['a1', 'd1', 'c2', 'B', 5, 'N']
['a1', 'd1', 'c3', 'B', 5, 'N']
['a1', 'd1', 'c4', 'B', 3, 'N']
['a1', 'd1', 'd2', 'B', 'Nex', 'C']
['a1', 'd1', 'd3', 'B', 'Nex', 'C']
['a1', 'd1', 'd4', 'B', 'Nex', 'C']
['a1', 'd2', 'X', 'B', 'R', 'N']
['a1', 'd2', 'a2', 'B', 'Nex', 'C']
['a1', 'd2', 'a3', 'B', 3, 'N']
['a1', 'd2', 'a4', 'B', 5, 'N']
['a1', 'd2', 'b1', 'B', 7, 'N']
['a1', 'd2', 'b2', 'B', 'Nex', 'C']
['a1', 'd2', 'b3', 'B', 3, 'N']
['a1', 'd2', 'b4', 'B', 5, 'N']
['a1', 'd2', 'c1', 'B', 7, 'N']
['a1', 'd2', 'c2', 'B', 'Nex', 'C']
['a1', 'd2', 'c3', 'B', 3, 'N']
['a1', 'd2', 'c4', 'B', 5, 'N']
['a1', 'd2', 'd1', 'B', 'Nex', 'C']
['a1', 'd2', 'd3', 'B', 'Nex', 'C']
['a1', 'd2', 'd4', 'B', 'Nex', 'C']
['a1', 'd3', 'X', 'B', 'R', 'N']
['a1', 'd3', 'a2', 'B', 7, 'N']
['a1', 'd3', 'a3', 'B', 'Nex', 'C']
['a1', 'd3', 'a4', 'B', 3, 'N']
['a1', 'd3', 'b1', 'B', 5, 'N']
['a1', 'd3', 'b2', 'B', 11, 'N']
['a1', 'd3', 'b3', 'B', 'Nex', 'C']
['a1', 'd3', 'b4', 'B', 3, 'N']
['a1', 'd3', 'c1', 'B', 5, 'N']
['a1', 'd3', 'c2', 'B', 7, 'N']
['a1', 'd3', 'c3', 'B', 'Nex', 'C']
['a1', 'd3', 'c4', 'B', 9, 'N']
['a1', 'd3', 'd1', 'B', 'Nex', 'C']
['a1', 'd3', 'd2', 'B', 'Nex', 'C']
['a1', 'd3', 'd4', 'B', 'Nex', 'C']
['a1', 'd4', 'X', 'B', 'R', 'N']
['a1', 'd4', 'a2', 'B', 7, 'N']
['a1', 'd4', 'a3', 'B', 7, 'N']
['a1', 'd4', 'a4', 'B', 'Nex', 'C']
['a1', 'd4', 'b1', 'B', 7, 'N']
['a1', 'd4', 'b2', 'B', 9, 'N']
['a1', 'd4', 'b3', 'B', 5, 'N']
['a1', 'd4', 'b4', 'B', 'Nex', 'C']
['a1', 'd4', 'c1', 'B', 7, 'N']
['a1', 'd4', 'c2', 'B', 5, 'N']
['a1', 'd4', 'c3', 'B', 7, 'N']
['a1', 'd4', 'c4', 'B', 'Nex', 'C']
['a1', 'd4', 'd1', 'B', 'Nex', 'C']
['a1', 'd4', 'd2', 'B', 'Nex', 'C']
['a1', 'd4', 'd3', 'B', 'Nex', 'C']
['a2', 'a4', 'X', 'B', 'R', 'N']
['a2', 'a4', 'a1', 'B', 5, 'N']
['a2', 'a4', 'a3', 'B', 'Nex', 'C']
['a2', 'a4', 'b1', 'B', 5, 'N']
['a2', 'a4', 'b2', 'B', 5, 'N']
['a2', 'a4', 'b3', 'B', 5, 'N']
['a2', 'a4', 'b4', 'B', 'Nex', 'C']
['a2', 'a4', 'c1', 'B', 1, 'N']
['a2', 'a4', 'c2', 'B', 1, 'N']
['a2', 'a4', 'c3', 'B', 1, 'N']
['a2', 'a4', 'c4', 'B', 'Nex', 'C']
['a2', 'a4', 'd1', 'B', 1, 'N']
['a2', 'a4', 'd2', 'B', 1, 'N']
['a2', 'a4', 'd3', 'B', 1, 'N']
['a2', 'a4', 'd4', 'B', 'Nex', 'C']
['a2', 'b4', 'X', 'B', 'R', 'N']
['a2', 'b4', 'a1', 'B', 3, 'N']
['a2', 'b4', 'a3', 'B', 7, 'N']
['a2', 'b4', 'a4', 'B', 'Nex', 'C']
['a2', 'b4', 'b1', 'B', 'Nex', 'C']
['a2', 'b4', 'b2', 'B', 'Nex', 'C']
['a2', 'b4', 'b3', 'B', 'Nex', 'C']
['a2', 'b4', 'c1', 'B', 3, 'N']
['a2', 'b4', 'c2', 'B', 3, 'N']
['a2', 'b4', 'c3', 'B', 3, 'N']
['a2', 'b4', 'c4', 'B', 'Nex', 'C']
['a2', 'b4', 'd1', 'B', 3, 'N']
['a2', 'b4', 'd2', 'B', 3, 'N']
['a2', 'b4', 'd3', 'B', 5, 'N']
['a2', 'b4', 'd4', 'B', 'Nex', 'C']
['a2', 'c1', 'X', 'B', 'R', 'N']
['a2', 'c1', 'a1', 'B', 'Nex', 'C']
['a2', 'c1', 'a3', 'B', 5, 'N']
['a2', 'c1', 'a4', 'B', 5, 'N']
['a2', 'c1', 'b1', 'B', 'Nex', 'C']
['a2', 'c1', 'b2', 'B', 7, 'N']
['a2', 'c1', 'b3', 'B', 7, 'N']
['a2', 'c1', 'b4', 'B', 7, 'N']
['a2', 'c1', 'c2', 'B', 'Nex', 'C']
['a2', 'c1', 'c3', 'B', 'Nex', 'C']
['a2', 'c1', 'c4', 'B', 'Nex', 'C']
['a2', 'c1', 'd1', 'B', 'Nex', 'C']
['a2', 'c1', 'd2', 'B', 7, 'N']
['a2', 'c1', 'd3', 'B', 3, 'N']
['a2', 'c1', 'd4', 'B', 3, 'N']
['a2', 'c2', 'X', 'B', 'R', 'N']
['a2', 'c2', 'a1', 'B', 9, 'N']
['a2', 'c2', 'a3', 'B', 9, 'N']
['a2', 'c2', 'a4', 'B', 7, 'N']
['a2', 'c2', 'b1', 'B', 9, 'N']
['a2', 'c2', 'b2', 'B', 'Nex', 'C']
['a2', 'c2', 'b3', 'B', 7, 'N']
['a2', 'c2', 'b4', 'B', 9, 'N']
['a2', 'c2', 'c1', 'B', 'Nex', 'C']
['a2', 'c2', 'c3', 'B', 'Nex', 'C']
['a2', 'c2', 'c4', 'B', 'Nex', 'C']
['a2', 'c2', 'd1', 'B', 11, 'N']
['a2', 'c2', 'd2', 'B', 'Nex', 'C']
['a2', 'c2', 'd3', 'B', 7, 'N']
['a2', 'c2', 'd4', 'B', 9, 'N']
['a2', 'c3', 'X', 'B', 'R', 'N']
['a2', 'c3', 'a1', 'B', 9, 'N']
['a2', 'c3', 'a3', 'B', 'Nex', 'C']
['a2', 'c3', 'a4', 'B', 11, 'N']
['a2', 'c3', 'b1', 'B', 9, 'N']
['a2', 'c3', 'b2', 'B', 9, 'N']
['a2', 'c3', 'b3', 'B', 'Nex', 'C']
['a2', 'c3', 'b4', 'B', 9, 'N']
['a2', 'c3', 'c1', 'B', 'Nex', 'C']
['a2', 'c3', 'c2', 'B', 'Nex', 'C']
['a2', 'c3', 'c4', 'B', 'Nex', 'C']
['a2', 'c3', 'd1', 'B', 9, 'N']
['a2', 'c3', 'd2', 'B', 9, 'N']
['a2', 'c3', 'd3', 'B', 'Nex', 'C']
['a2', 'c3', 'd4', 'B', 9, 'N']
['a2', 'c4', 'X', 'B', 'R', 'N']
['a2', 'c4', 'a1', 'B', 5, 'N']
['a2', 'c4', 'a3', 'B', 5, 'N']
['a2', 'c4', 'a4', 'B', 'Nex', 'C']
['a2', 'c4', 'b1', 'B', 7, 'N']
['a2', 'c4', 'b2', 'B', 7, 'N']
['a2', 'c4', 'b3', 'B', 7, 'N']
['a2', 'c4', 'b4', 'B', 'Nex', 'C']
['a2', 'c4', 'c1', 'B', 'Nex', 'C']
['a2', 'c4', 'c2', 'B', 'Nex', 'C']
['a2', 'c4', 'c3', 'B', 'Nex', 'C']
['a2', 'c4', 'd1', 'B', 3, 'N']
['a2', 'c4', 'd2', 'B', 3, 'N']
['a2', 'c4', 'd3', 'B', 7, 'N']
['a2', 'c4', 'd4', 'B', 'Nex', 'C']
['a2', 'd1', 'X', 'B', 'R', 'N']
['a2', 'd1', 'a1', 'B', 'Nex', 'C']
['a2', 'd1', 'a3', 'B', 5, 'N']
['a2', 'd1', 'a4', 'B', 3, 'N']
['a2', 'd1', 'b1', 'B', 'Nex', 'C']
['a2', 'd1', 'b2', 'B', 5, 'N']
['a2', 'd1', 'b3', 'B', 5, 'N']
['a2', 'd1', 'b4', 'B', 3, 'N']
['a2', 'd1', 'c1', 'B', 'Nex', 'C']
['a2', 'd1', 'c2', 'B', 5, 'N']
['a2', 'd1', 'c3', 'B', 5, 'N']
['a2', 'd1', 'c4', 'B', 3, 'N']
['a2', 'd1', 'd2', 'B', 'Nex', 'C']
['a2', 'd1', 'd3', 'B', 'Nex', 'C']
['a2', 'd1', 'd4', 'B', 'Nex', 'C']
['a2', 'd2', 'X', 'B', 'R', 'N']
['a2', 'd2', 'a1', 'B', 3, 'N']
['a2', 'd2', 'a3', 'B', 3, 'N']
['a2', 'd2', 'a4', 'B', 5, 'N']
['a2', 'd2', 'b1', 'B', 3, 'N']
['a2', 'd2', 'b2', 'B', 'Nex', 'C']
['a2', 'd2', 'b3', 'B', 3, 'N']
['a2', 'd2', 'b4', 'B', 5, 'N']
['a2', 'd2', 'c1', 'B', 7, 'N']
['a2', 'd2', 'c2', 'B', 'Nex', 'C']
['a2', 'd2', 'c3', 'B', 3, 'N']
['a2', 'd2', 'c4', 'B', 5, 'N']
['a2', 'd2', 'd1', 'B', 'Nex', 'C']
['a2', 'd2', 'd3', 'B', 'Nex', 'C']
['a2', 'd2', 'd4', 'B', 'Nex', 'C']
['a2', 'd3', 'X', 'B', 'R', 'N']
['a2', 'd3', 'a1', 'B', 5, 'N']
['a2', 'd3', 'a3', 'B', 'Nex', 'C']
['a2', 'd3', 'a4', 'B', 3, 'N']
['a2', 'd3', 'b1', 'B', 5, 'N']
['a2', 'd3', 'b2', 'B', 3, 'N']
['a2', 'd3', 'b3', 'B', 'Nex', 'C']
['a2', 'd3', 'b4', 'B', 3, 'N']
['a2', 'd3', 'c1', 'B', 5, 'N']
['a2', 'd3', 'c2', 'B', 3, 'N']
['a2', 'd3', 'c3', 'B', 'Nex', 'C']
['a2', 'd3', 'c4', 'B', 7, 'N']
['a2', 'd3', 'd1', 'B', 'Nex', 'C']
['a2', 'd3', 'd2', 'B', 'Nex', 'C']
['a2', 'd3', 'd4', 'B', 'Nex', 'C']
['a2', 'd4', 'X', 'B', 'R', 'N']
['a2', 'd4', 'a1', 'B', 3, 'N']
['a2', 'd4', 'a3', 'B', 5, 'N']
['a2', 'd4', 'a4', 'B', 'Nex', 'C']
['a2', 'd4', 'b1', 'B', 3, 'N']
['a2', 'd4', 'b2', 'B', 5, 'N']
['a2', 'd4', 'b3', 'B', 5, 'N']
['a2', 'd4', 'b4', 'B', 'Nex', 'C']
['a2', 'd4', 'c1', 'B', 3, 'N']
['a2', 'd4', 'c2', 'B', 5, 'N']
['a2', 'd4', 'c3', 'B', 5, 'N']
['a2', 'd4', 'c4', 'B', 'Nex', 'C']
['a2', 'd4', 'd1', 'B', 'Nex', 'C']
['a2', 'd4', 'd2', 'B', 'Nex', 'C']
['a2', 'd4', 'd3', 'B', 'Nex', 'C']
['a3', 'a1', 'X', 'B', 'R', 'N']
['a3', 'a1', 'a2', 'B', 'Nex', 'C']
['a3', 'a1', 'a4', 'B', 5, 'N']
['a3', 'a1', 'b1', 'B', 'Nex', 'C']
['a3', 'a1', 'b2', 'B', 5, 'N']
['a3', 'a1', 'b3', 'B', 5, 'N']
['a3', 'a1', 'b4', 'B', 5, 'N']
['a3', 'a1', 'c1', 'B', 'Nex', 'C']
['a3', 'a1', 'c2', 'B', 1, 'N']
['a3', 'a1', 'c3', 'B', 1, 'N']
['a3', 'a1', 'c4', 'B', 1, 'N']
['a3', 'a1', 'd1', 'B', 'Nex', 'C']
['a3', 'a1', 'd2', 'B', 1, 'N']
['a3', 'a1', 'd3', 'B', 1, 'N']
['a3', 'a1', 'd4', 'B', 1, 'N']
['a3', 'b1', 'X', 'B', 'R', 'N']
['a3', 'b1', 'a1', 'B', 'Nex', 'C']
['a3', 'b1', 'a2', 'B', 7, 'N']
['a3', 'b1', 'a4', 'B', 3, 'N']
['a3', 'b1', 'b2', 'B', 'Nex', 'C']
['a3', 'b1', 'b3', 'B', 'Nex', 'C']
['a3', 'b1', 'b4', 'B', 'Nex', 'C']
['a3', 'b1', 'c1', 'B', 'Nex', 'C']
['a3', 'b1', 'c2', 'B', 3, 'N']
['a3', 'b1', 'c3', 'B', 3, 'N']
['a3', 'b1', 'c4', 'B', 3, 'N']
['a3', 'b1', 'd1', 'B', 'Nex', 'C']
['a3', 'b1', 'd2', 'B', 5, 'N']
['a3', 'b1', 'd3', 'B', 3, 'N']
['a3', 'b1', 'd4', 'B', 3, 'N']
['a3', 'c1', 'X', 'B', 'R', 'N']
['a3', 'c1', 'a1', 'B', 'Nex', 'C']
['a3', 'c1', 'a2', 'B', 5, 'N']
['a3', 'c1', 'a4', 'B', 5, 'N']
['a3', 'c1', 'b1', 'B', 'Nex', 'C']
['a3', 'c1', 'b2', 'B', 7, 'N']
['a3', 'c1', 'b3', 'B', 7, 'N']
['a3', 'c1', 'b4', 'B', 7, 'N']
['a3', 'c1', 'c2', 'B', 'Nex', 'C']
['a3', 'c1', 'c3', 'B', 'Nex', 'C']
['a3', 'c1', 'c4', 'B', 'Nex', 'C']
['a3', 'c1', 'd1', 'B', 'Nex', 'C']
['a3', 'c1', 'd2', 'B', 7, 'N']
['a3', 'c1', 'd3', 'B', 3, 'N']
['a3', 'c1', 'd4', 'B', 3, 'N']
['a3', 'c2', 'X', 'B', 'R', 'N']
['a3', 'c2', 'a1', 'B', 11, 'N']
['a3', 'c2', 'a2', 'B', 'Nex', 'C']
['a3', 'c2', 'a4', 'B', 9, 'N']
['a3', 'c2', 'b1', 'B', 9, 'N']
['a3', 'c2', 'b2', 'B', 'Nex', 'C']
['a3', 'c2', 'b3', 'B', 9, 'N']
['a3', 'c2', 'b4', 'B', 9, 'N']
['a3', 'c2', 'c1', 'B', 'Nex', 'C']
['a3', 'c2', 'c3', 'B', 'Nex', 'C']
['a3', 'c2', 'c4', 'B', 'Nex', 'C']
['a3', 'c2', 'd1', 'B', 9, 'N']
['a3', 'c2', 'd2', 'B', 'Nex', 'C']
['a3', 'c2', 'd3', 'B', 9, 'N']
['a3', 'c2', 'd4', 'B', 9, 'N']
['a3', 'c3', 'X', 'B', 'R', 'N']
['a3', 'c3', 'a1', 'B', 7, 'N']
['a3', 'c3', 'a2', 'B', 9, 'N']
['a3', 'c3', 'a4', 'B', 9, 'N']
['a3', 'c3', 'b1', 'B', 9, 'N']
['a3', 'c3', 'b2', 'B', 7, 'N']
['a3', 'c3', 'b3', 'B', 'Nex', 'C']
['a3', 'c3', 'b4', 'B', 9, 'N']
['a3', 'c3', 'c1', 'B', 'Nex', 'C']
['a3', 'c3', 'c2', 'B', 'Nex', 'C']
['a3', 'c3', 'c4', 'B', 'Nex', 'C']
['a3', 'c3', 'd1', 'B', 9, 'N']
['a3', 'c3', 'd2', 'B', 7, 'N']
['a3', 'c3', 'd3', 'B', 'Nex', 'C']
['a3', 'c3', 'd4', 'B', 11, 'N']
['a3', 'c4', 'X', 'B', 'R', 'N']
['a3', 'c4', 'a1', 'B', 5, 'N']
['a3', 'c4', 'a2', 'B', 5, 'N']
['a3', 'c4', 'a4', 'B', 'Nex', 'C']
['a3', 'c4', 'b1', 'B', 7, 'N']
['a3', 'c4', 'b2', 'B', 7, 'N']
['a3', 'c4', 'b3', 'B', 7, 'N']
['a3', 'c4', 'b4', 'B', 'Nex', 'C']
['a3', 'c4', 'c1', 'B', 'Nex', 'C']
['a3', 'c4', 'c2', 'B', 'Nex', 'C']
['a3', 'c4', 'c3', 'B', 'Nex', 'C']
['a3', 'c4', 'd1', 'B', 3, 'N']
['a3', 'c4', 'd2', 'B', 3, 'N']
['a3', 'c4', 'd3', 'B', 7, 'N']
['a3', 'c4', 'd4', 'B', 'Nex', 'C']
['a3', 'd1', 'X', 'B', 'R', 'N']
['a3', 'd1', 'a1', 'B', 'Nex', 'C']
['a3', 'd1', 'a2', 'B', 5, 'N']
['a3', 'd1', 'a4', 'B', 3, 'N']
['a3', 'd1', 'b1', 'B', 'Nex', 'C']
['a3', 'd1', 'b2', 'B', 5, 'N']
