['a1', 'a3', 'X', 'B', 'R', 'N']
['a1', 'a3', 'a2', 'B', 'Nex', 'C']
['a1', 'a3', 'b1', 'B', 5, 'N']
['a1', 'a3', 'b2', 'B', 5, 'N']
['a1', 'a3', 'b3', 'B', 'Nex', 'C']
['a1', 'a3', 'c1', 'B', 1, 'N']
['a1', 'a3', 'c2', 'B', 1, 'N']
['a1', 'a3', 'c3', 'B', 'Nex', 'C']
['a1', 'b3', 'X', 'B', 'R', 'N']
['a1', 'b3', 'a2', 'B', 3, 'N']
['a1', 'b3', 'a3', 'B', 'Nex', 'C']
['a1', 'b3', 'b1', 'B', 'Nex', 'C']
['a1', 'b3', 'b2', 'B', 'Nex', 'C']
['a1', 'b3', 'c1', 'B', 3, 'N']
['a1', 'b3', 'c2', 'B', 3, 'N']
['a1', 'b3', 'c3', 'B', 'Nex', 'C']
['a1', 'c1', 'X', 'B', 'R', 'N']
['a1', 'c1', 'a2', 'B', 5, 'N']
['a1', 'c1', 'a3', 'B', 1, 'N']
['a1', 'c1', 'b1', 'B', 'Nex', 'C']
['a1', 'c1', 'b2', 'B', 5, 'N']
['a1', 'c1', 'b3', 'B', 1, 'N']
['a1', 'c1', 'c2', 'B', 'Nex', 'C']
['a1', 'c1', 'c3', 'B', 'Nex', 'C']
['a1', 'c2', 'X', 'B', 'R', 'N']
['a1', 'c2', 'a2', 'B', 'Nex', 'C']
['a1', 'c2', 'a3', 'B', 3, 'N']
['a1', 'c2', 'b1', 'B', 3, 'N']
['a1', 'c2', 'b2', 'B', 'Nex', 'C']
['a1', 'c2', 'b3', 'B', 3, 'N']
['a1', 'c2', 'c1', 'B', 'Nex', 'C']
['a1', 'c2', 'c3', 'B', 'Nex', 'C']
['a1', 'c3', 'X', 'B', 'R', 'N']
['a1', 'c3', 'a2', 'B', 5, 'N']
['a1', 'c3', 'a3', 'B', 'Nex', 'C']
['a1', 'c3', 'b1', 'B', 5, 'N']
['a1', 'c3', 'b2', 'B', 5, 'N']
['a1', 'c3', 'b3', 'B', 'Nex', 'C']
['a1', 'c3', 'c1', 'B', 'Nex', 'C']
['a1', 'c3', 'c2', 'B', 'Nex', 'C']
['a2', 'c1', 'X', 'B', 'R', 'N']
['a2', 'c1', 'a1', 'B', 'Nex', 'C']
['a2', 'c1', 'a3', 'B', 1, 'N']
['a2', 'c1', 'b1', 'B', 'Nex', 'C']
['a2', 'c1', 'b2', 'B', 5, 'N']
['a2', 'c1', 'b3', 'B', 1, 'N']
['a2', 'c1', 'c2', 'B', 'Nex', 'C']
['a2', 'c1', 'c3', 'B', 'Nex', 'C']
['a2', 'c2', 'X', 'B', 'R', 'N']
['a2', 'c2', 'a1', 'B', 3, 'N']
['a2', 'c2', 'a3', 'B', 3, 'N']
['a2', 'c2', 'b1', 'B', 3, 'N']
['a2', 'c2', 'b2', 'B', 'Nex', 'C']
['a2', 'c2', 'b3', 'B', 3, 'N']
['a2', 'c2', 'c1', 'B', 'Nex', 'C']
['a2', 'c2', 'c3', 'B', 'Nex', 'C']
['a2', 'c3', 'X', 'B', 'R', 'N']
['a2', 'c3', 'a1', 'B', 1, 'N']
['a2', 'c3', 'a3', 'B', 'Nex', 'C']
['a2', 'c3', 'b1', 'B', 1, 'N']
['a2', 'c3', 'b2', 'B', 5, 'N']
['a2', 'c3', 'b3', 'B', 'Nex', 'C']
['a2', 'c3', 'c1', 'B', 'Nex', 'C']
['a2', 'c3', 'c2', 'B', 'Nex', 'C']
['a3', 'a1', 'X', 'B', 'R', 'N']
['a3', 'a1', 'a2', 'B', 'Nex', 'C']
['a3', 'a1', 'b1', 'B', 'Nex', 'C']
['a3', 'a1', 'b2', 'B', 5, 'N']
['a3', 'a1', 'b3', 'B', 5, 'N']
['a3', 'a1', 'c1', 'B', 'Nex', 'C']
['a3', 'a1', 'c2', 'B', 1, 'N']
['a3', 'a1', 'c3', 'B', 1, 'N']
